WorkshopID	Mod	Carpeta	PackageID	Última actualización	Última traducción
2973169158	Alpha Mechs	Data/!Sarg Bjornson	sarg.alphamechs	2026-09-12	2026-09-12
2196278117	Altered Carbon 2: ReSleeved	Data/!Helixien	hlx.UltratechAlteredCarbon	2026-05-10	2026-09-12
3075384838	Ancient hydroponic farm facilities	Data	XMB.AncientHydroponicFarmFacilities.MO	2025-07-22	2026-09-12
3792325789	Apex Mechanoids	Data	Mortis.ApexMechanoids	2026-09-11	2026-09-12
3563882422	Better Architect Menu	Data/!ferny	ferny.BetterArchitect	2026-09-10	2026-09-12
3560528949	Custom Weapons Expanded	Data	Feliperathal.CustomizeWeaponExpanded	2026-09-09	2026-09-12
3648390934	EvolvedOrgansRedux	Data	StatistNo1.EvolvedOrgansRedux	2026-07-07	2026-09-12
3352894993	Exosuit Framework	Data/!AobaKuma	Aoba.Exosuit.Framework	2026-08-20	2026-09-12
3498575851	Fortified Features Framework	Data	AOBA.Framework	2026-09-04	2026-09-12
3545374124	GravTech	Data	als.gravtech	2026-09-12	2026-09-12
3509486825	Hospitality (Continued)	Data	Orion.Hospitality	2026-09-08	2026-09-12
3489491945	Lactation Expansion	Data	Euterpe.MilkyTitfuck	2026-08-01	2026-09-12
2885430743	Logistics Mechanoid	Data	Pal5k.LogisticsMechanoid	2025-07-01	2026-09-12
3683998684	Manipulator Beam Emitter	Data	natsuki.manipulatorbeam	2026-09-11	2026-09-12
3523146525	Mechanitor Orbital Platform	Data	zoarak.mechplat	2025-07-11	2026-09-12
3237083444	More Than Capable (1.6-b)	Data	void.MoreThanCapable	2025-07-20	2026-09-12
3525851843	Odyssey Transport Shuttle	Data	toshtaru.Odyssey.Transport.Shuttle	2025-07-17	2026-09-12
3521089734	Permits: Re-Examined	Data/!Smxrez	Smxrez.permitsreexamined	2026-02-19	2026-09-12
3590863552	Progression: Education	Data/!ferny	ferny.ProgressionEducation	2026-09-08	2026-09-12
3783411735	Progression: Hives	Data/!ferny	ferny.progressionhives	2026-08-17	2026-09-12
3736402055	Progression: Robotics	Data/!ferny	ferny.progressionrobotics2	2026-09-11	2026-09-12
3378384387	Progression: Scenarios	Data/!ferny	ferny.ProgressionScenarios	2026-09-12	2026-09-12
3262718980	ReBuild: Doors and Corners	Data/!Helixien	ReBuild.COTR.DoorsAndCorners	2025-07-20	2026-09-12
728315620	RT Solar Flare Shield	Data	ratys.rtsolarflareshield	2025-07-13	2026-09-12
3247891820	Spacer Arsenal	Data/!DetVisor	det.spacerarsenal	2025-08-19	2026-09-12
3121742525	The Dead Man's Switch	Data/!AobaKuma	Aoba.DeadManSwitch.Core	2026-08-02	2026-09-12
3377130226	The Dead Man's Switch - MobileDragoon	Data/!AobaKuma	Aoba.DeadManSwitch.MobileDragoon	2026-06-30	2026-09-12
